Ablation,Raw P@1,Cond. P@1,Wilcoxon p,Cliff's δ
RIFT-FULL,PENDING,PENDING,PENDING,PENDING
RIFT-OBS (no intervention),PENDING,PENDING,PENDING,PENDING
RIFT-RANDOM (no MSIS),PENDING,PENDING,PENDING,PENDING
RIFT-ONE-SHOT (no closed-loop),PENDING,PENDING,PENDING,PENDING
