Hypothesis,Test,p-value,Cliff's delta,"CI [low, high]",Corrected alpha,Significant
H1,PENDING,PENDING,PENDING,PENDING,0.00833,PENDING
H2,PENDING,PENDING,PENDING,PENDING,0.01,PENDING
H3,PENDING,PENDING,PENDING,PENDING,0.0125,PENDING
H4_acc,PENDING,PENDING,PENDING,PENDING,0.01667,PENDING
H4_cost,PENDING,PENDING,PENDING,PENDING,0.025,PENDING
H5,PENDING,PENDING,PENDING,PENDING,0.05,PENDING
