Method,Raw P@1,Cond. P@1,Coverage,Abstention,Latency (s)
RIFT-FULL,PENDING,PENDING,PENDING,PENDING,PENDING
RIFT-OBS,PENDING,PENDING,PENDING,PENDING,PENDING
RIFT-RANDOM,PENDING,PENDING,PENDING,PENDING,PENDING
SIEVE-LIKE,PENDING,PENDING,PENDING,PENDING,PENDING
ORACLE-UPPER-BOUND†,PENDING,PENDING,PENDING,PENDING,PENDING
